bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
CAMORIM,Apartamento,2.5,3.0,0.00,0.00,1792
CAMORIM,Apartamento,3.0,3.5,0.00,0.00,1792
CAMPINHO,Apartamento,2.0,2.5,8.33,0.00,24
CAMPINHO,Apartamento,2.5,3.0,0.00,0.00,24
CAMPINHO,Apartamento,3.0,3.5,0.00,0.00,24
CAMPINHO,Casa,2.0,2.5,0.00,0.00,4
CAMPINHO,Casa,2.5,3.0,0.00,0.00,4
CAMPINHO,Casa,3.0,3.5,0.00,0.00,4
CAMPO DOS AFONSOS,Apartamento,2.0,2.5,4.49,0.00,156
CAMPO DOS AFONSOS,Apartamento,2.5,3.0,4.49,0.00,156
CAMPO DOS AFONSOS,Apartamento,3.0,3.5,1.28,0.00,156
CAMPO GRANDE,Apartamento,2.0,2.5,7.17,0.00,1352
CAMPO GRANDE,Apartamento,2.5,3.0,2.00,0.00,1352
CAMPO GRANDE,Apartamento,3.0,3.5,0.89,0.00,1352
CAMPO GRANDE,Casa,2.0,2.5,4.92,1.09,366
CAMPO GRANDE,Casa,2.5,3.0,3.28,0.00,366
CAMPO GRANDE,Casa,3.0,3.5,3.28,0.00,366
CASCADURA,Apartamento,2.0,2.5,16.67,0.00,48
CASCADURA,Apartamento,2.5,3.0,8.33,0.00,48
CASCADURA,Apartamento,3.0,3.5,4.17,0.00,48
CASCADURA,Casa,2.0,2.5,0.00,0.00,2
CASCADURA,Casa,2.5,3.0,0.00,0.00,2
CASCADURA,Casa,3.0,3.5,0.00,0.00,2
CATETE,Apartamento,2.0,2.5,2.95,0.30,677
CATETE,Apartamento,2.5,3.0,2.22,0.00,677
CATETE,Apartamento,3.0,3.5,0.30,0.00,677
CATETE,Comercial,2.0,2.5,0.00,0.00,19
CATETE,Comercial,2.5,3.0,0.00,0.00,19
CATETE,Comercial,3.0,3.5,0.00,0.00,19
CATUMBI,Apartamento,2.0,2.5,0.00,23.53,17
CATUMBI,Apartamento,2.5,3.0,0.00,23.53,17
CATUMBI,Apartamento,3.0,3.5,0.00,23.53,17
CATUMBI,Casa,2.0,2.5,0.00,22.22,9
CATUMBI,Casa,2.5,3.0,0.00,22.22,9
CATUMBI,Casa,3.0,3.5,0.00,22.22,9
CAVALCANTI,Apartamento,2.0,2.5,0.00,30.00,10
CAVALCANTI,Apartamento,2.5,3.0,0.00,30.00,10
CAVALCANTI,Apartamento,3.0,3.5,0.00,30.00,10
CENTRO,Apartamento,2.0,2.5,0.15,5.32,1316
CENTRO,Apartamento,2.5,3.0,0.00,3.27,1316
CENTRO,Apartamento,3.0,3.5,0.00,0.00,1316
CENTRO,Casa,2.0,2.5,0.00,0.00,4
CENTRO,Casa,2.5,3.0,0.00,0.00,4
CENTRO,Casa,3.0,3.5,0.00,0.00,4
CENTRO,Comercial,2.0,2.5,0.00,16.67,24
CENTRO,Comercial,2.5,3.0,0.00,8.33,24
CENTRO,Comercial,3.0,3.5,0.00,8.33,24
CIDADE DE DEUS,Apartamento,2.0,2.5,0.00,0.00,4
CIDADE DE DEUS,Apartamento,2.5,3.0,0.00,0.00,4
CIDADE DE DEUS,Apartamento,3.0,3.5,0.00,0.00,4
CIDADE DE DEUS,Casa,2.0,2.5,0.00,0.00,5
CIDADE DE DEUS,Casa,2.5,3.0,0.00,0.00,5
