bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
VILA DA PENHA,Apartamento,3.0,3.5,492,,,4365,2221,9603
JARDIM BOTÂNICO,Apartamento,2.0,2.5,474,4.64,2.11,13547,10201,19311
JARDIM BOTÂNICO,Apartamento,2.5,3.0,474,2.53,1.27,13547,9503,20731
JARDIM BOTÂNICO,Apartamento,3.0,3.5,474,2.11,,13547,8852,22254
HUMAITÁ,Apartamento,2.0,2.5,451,2.22,4.21,10577,8593,13711
HUMAITÁ,Apartamento,2.5,3.0,451,0.44,3.77,10577,8159,14442
HUMAITÁ,Apartamento,3.0,3.5,451,,3.10,10577,7746,15212
SÃO CONRADO,Apartamento,2.0,2.5,420,4.29,18.10,9698,6965,14668
SÃO CONRADO,Apartamento,2.5,3.0,420,1.43,18.10,9698,6412,15934
SÃO CONRADO,Apartamento,3.0,3.5,420,1.43,18.10,9698,5902,17309
BARRA OLÍMPICA,Apartamento,2.0,2.5,411,14.11,,8280,6523,11156
BARRA OLÍMPICA,Apartamento,2.5,3.0,411,8.76,,8280,6145,11842
BARRA OLÍMPICA,Apartamento,3.0,3.5,411,3.89,,8280,5789,12570
CENTRO,Apartamento,2.0,2.5,391,1.28,4.86,5033,3371,8307
CENTRO,Apartamento,2.5,3.0,391,0.77,1.02,5033,3049,9182
CENTRO,Apartamento,3.0,3.5,391,0.77,,5033,2759,10150
VILA VALQUEIRE,Apartamento,2.0,2.5,350,2.86,,3928,2310,7628
VILA VALQUEIRE,Apartamento,2.5,3.0,350,,,3928,2023,8711
VILA VALQUEIRE,Apartamento,3.0,3.5,350,,,3928,1772,9948
ENGENHO NOVO,Apartamento,2.0,2.5,331,3.63,0.60,3085,2407,4208
ENGENHO NOVO,Apartamento,2.5,3.0,331,2.42,0.60,3085,2262,4477
ENGENHO NOVO,Apartamento,3.0,3.5,331,1.21,,3085,2126,4764
LINS DE VASCONCELOS,Apartamento,2.0,2.5,330,1.82,7.27,3369,2452,5012
LINS DE VASCONCELOS,Apartamento,2.5,3.0,330,0.61,2.42,3369,2265,5427
LINS DE VASCONCELOS,Apartamento,3.0,3.5,330,0.61,2.42,3369,2092,5875
VARGEM GRANDE,Apartamento,2.0,2.5,320,2.50,12.50,5040,4746,5435
VARGEM GRANDE,Apartamento,2.5,3.0,320,1.88,8.13,5040,4675,5517
VARGEM GRANDE,Apartamento,3.0,3.5,320,1.88,7.50,5040,4605,5601
PENHA,Apartamento,2.0,2.5,312,,,3867,2116,8215
PENHA,Apartamento,2.5,3.0,312,,,3867,1820,9551
PENHA,Apartamento,3.0,3.5,312,,,3867,1566,11104
