nome,logradouro,numero,bairro
Cap Des Antibes,Rua Ivone Cavaleiro,130,Barra da Tijuca
Cellini,Rua Ipanema,21,Barra da Tijuca
Conde DEu,Rua Conde D'Eu,171,Barra da Tijuca
Costa Azul,Rua Ivone Cavaleiro,40,Barra da Tijuca
Costa Blanca,Avenida Prefeito Dulcídio Cardoso,1640,Barra da Tijuca
Costa Del Sol,Avenida Lúcio Costa,3602,Barra da Tijuca
Daniel,Avenida Lúcio Costa,2470,Barra da Tijuca
Del Rey,Avenida Lúcio Costa,2380,Barra da Tijuca
Delfim Moreira,Avenida Lúcio Costa,3600,Barra da Tijuca
Delphos,Rua Zaco Paraná,35,Barra da Tijuca
Denise,Rua Ivone Cavaleiro,120,Barra da Tijuca
Destefano,Avenida Lúcio Costa,4462,Barra da Tijuca
Diva,Rua John Kennedy,311,Barra da Tijuca
Dona Maria,Rua John Kennedy,355,Barra da Tijuca
Dona Olidia,Avenida Vítor Konder,385,Barra da Tijuca
Einstein,Rua Einstein,155,Barra da Tijuca
Espacio Laguna,Rua Coronel Aviador Antônio Arthur Braga,370,Barra da Tijuca
Eurydes,Avenida Vítor Konder,419,Barra da Tijuca
Fanny,Avenida Lúcio Costa,3550,Barra da Tijuca
Fanny Paranhos,Rua de Paranhos Antunes,250,Barra da Tijuca
Flamingo I,Avenida Lúcio Costa,2300,Barra da Tijuca
Flamingo II,Avenida Lúcio Costa,2320,Barra da Tijuca
Font Vieille,Avenida das Acácias da Península,607,Barra da Tijuca
Parque da Barra,Avenida Lúcio Costa,2970,Barra da Tijuca
Ghirlandaio,Rua Guimarães Rosa,143,Barra da Tijuca
Green Lake e Green Garden,Avenida das Acácias da Península,150,Barra da Tijuca
Grumari,Avenida Professor Fausto Moreira,46,Barra da Tijuca
Henry Laurens,Rua Ipanema,173,Barra da Tijuca
Heron Lakes,Avenida Peregrino Júnior,355,Barra da Tijuca
Itanhanga,Avenida Professor Fausto Moreira,306,Barra da Tijuca
Itapoa,Avenida Lúcio Costa,3712,Barra da Tijuca
Jacana,Rua Ivone Cavaleiro,210,Barra da Tijuca
John Kennedy,Rua John Kennedy,310,Barra da Tijuca
